matchId,blueWins,blueWardsPlaced,blueControlWardsPlaced,blueWardsDestroyed,blueControlWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueVoidGrubs,blueTowersDestroyed,bluePlatesDestroyed,blueTotalGold,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueFirstTurret,blueInhibitorsDestroyed,blueFirstDragon,redWardsPlaced,redControlWardsPlaced,redWardsDestroyed,redControlWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redVoidGrubs,redTowersDestroyed,redPlatesDestroyed,redTotalGold,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redFirstTurret,redInhibitorsDestroyed,redFirstDragon,gameDuration
KR_7103467251,1,43,9,10,3,1,12,15,14,0,0,2,0,10,26801,27965,347,70,0,0,0,32,8,9,7,0,15,12,16,1,0,4,1,3,29411,30691,349,103,1,0,1,2343.847
KR_7029911546,1,36,11,5,3,1,8,5,9,1,0,5,0,5,25584,31659,418,74,0,0,1,24,6,15,7,0,5,8,7,0,0,1,0,4,24827,30167,403,106,0,0,0,1939.513
KR_7077250839,1,33,11,6,2,1,10,14,6,1,1,6,0,8,25930,29714,364,88,0,0,1,56,3,10,5,0,14,10,19,1,0,0,1,2,28200,29638,341,100,1,0,0,1553.7
KR_7101806500,0,28,5,8,5,0,14,23,9,1,0,3,0,9,28190,31246,345,86,0,0,0,36,10,9,3,1,23,14,27,1,0,3,1,6,31584,31717,355,82,1,0,1,2213.758
KR_7099122531,1,29,7,6,5,1,14,13,19,0,0,6,2,13,31288,31993,379,91,1,0,0,32,8,10,3,0,13,14,19,1,0,0,0,1,27239,29741,340,84,0,0,1,1470.118
KR_7108151716,0,41,9,11,4,1,7,8,7,0,0,6,1,7,24827,28943,347,83,1,0,0,33,9,11,2,0,8,7,14,2,0,0,0,2,25332,31039,394,108,0,0,1,1409.276
KR_7074873325,1,30,7,6,4,1,18,23,17,0,0,3,1,8,29248,28610,313,82,0,0,0,52,7,10,3,0,23,18,15,2,0,0,1,6,30656,30599,319,83,1,0,1,1685.638
KR_7097653945,0,61,8,9,0,0,13,12,13,0,1,6,2,12,29889,31331,378,91,1,0,0,95,2,7,5,1,12,13,14,2,0,0,0,2,26481,31433,344,88,0,0,1,1507.327
KR_7092252820,0,34,4,9,4,0,9,18,11,0,0,3,1,2,24692,28553,335,74,0,0,0,30,9,10,2,1,18,9,25,1,0,3,3,9,33625,33032,414,99,1,0,1,1289.441
KR_7037397068,0,51,6,46,4,0,7,13,13,0,0,0,1,9,24570,28136,357,86,1,0,0,88,9,15,5,1,13,7,16,1,0,3,0,1,30483,31363,425,102,0,0,1,1687.262
